date,site,visit,track_id,habitat_code,n1_traps,n1_pos,n1_ce,n1_miss,n2_traps,n2_pos,n2_ce,n2_miss,n3_traps,n3_pos,n3_ce,n3_miss,n4_traps,n4_pos,n4_ce,n4_miss,tot_traps,nights,n_catch,n_Mna,n_Rra,n_Mer,n_Pda,n_Pro,house_id,house_w_only_Mna,house_w_only_Rra,house_w_both,house_w_neither,Mna_per_trap,Rra_at_house,Mer_at_house,Pda_at_house,Pro_at_house,Rra_at_site,Mer_at_site,Pda_at_site,Pro_at_site,wet_season
2019-09-07,Bafodia,1,H35,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H35,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H36,H,3,0,0,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,0,0,0,0,0,Bafodia-1-H36,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H37,H,3,1,0,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,0,0,0,0,Bafodia-1-H37,TRUE,FALSE,FALSE,FALSE,0.2,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H38,H,3,1,0,0,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,0,0,0,0,Bafodia-1-H38,TRUE,FALSE,FALSE,FALSE,0.25,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H39,H,3,2,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,1,0,0,0,0,Bafodia-1-H39,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H40,H,3,3,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,3,0,0,0,0,Bafodia-1-H40,TRUE,FALSE,FALSE,FALSE,0.5,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H41,H,3,4,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,0,0,0,0,Bafodia-1-H41,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H42,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H42,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H43,H,3,2,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H43,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H44,H,3,3,0,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,3,0,0,0,0,Bafodia-1-H44,TRUE,FALSE,FALSE,FALSE,0.6,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H45,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H45,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H46,H,3,2,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,2,0,0,0,0,Bafodia-1-H46,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H47,H,3,0,0,0,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H47,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H48,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H48,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
