site,latitude,longitude,date,visit,date_mod,visit_mod,month,wet_season,tot_traps,n_catch,n_Mna,n_Rra,n_Mer,n_Mma,n_Pda,n_Pro,Mna_per_trap,Rra_per_trap,Rra_at_site,Mer_at_site,Mma_at_site,Pda_at_site,Pro_at_site,n_Mna_neg_lassa,n_Mna_pos_lassa,n_Mna_tested_lassa,data_source
Guala,8.124279286783235,-11.235621660915578,2019-12-18,3,2019-12-18,3,12,0,432,9,0,2,0,0,0,1,0,0.004629629629629629,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2020-02-20,4,2020-02-20,4,2,0,408,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-07-30,1,2019-07-30,1,7,1,262,13,0,5,0,0,0,0,0,0.019083969465648856,1,1,0,0,0,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-10-01,2,2019-10-01,2,10,1,276,10,4,2,0,0,0,0,0.014492753623188406,0.007246376811594203,1,1,0,0,0,2,2,4,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-12-05,3,2019-12-05,3,12,0,275,8,2,1,1,0,0,0,0.007272727272727273,0.0036363636363636364,1,1,0,0,0,2,0,2,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2020-01-20,4,2020-01-20,4,1,0,262,8,1,2,1,0,0,0,0.003816793893129771,0.007633587786259542,1,1,0,0,0,1,0,1,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-07-15,1,2019-07-15,1,7,1,458,6,4,0,0,0,0,0,0.008733624454148471,0,1,1,0,0,0,4,0,4,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-10-26,2,2019-10-26,2,10,1,506,18,7,1,1,0,0,0,0.01383399209486166,0.001976284584980237,1,1,0,0,0,5,2,7,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-12-16,3,2019-12-16,3,12,0,482,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2020-02-18,4,2020-02-18,4,2,0,500,5,4,1,0,0,0,0,0.008,0.002,1,1,0,0,0,3,1,4,PREEMPT
Makump,8.805581045422798,-12.03982493380907,2019-08-01,1,2019-08-01,1,8,1,395,16,4,1,4,0,0,1,0.010126582278481013,0.002531645569620253,1,1,0,0,1,3,1,4,PREEMPT
Makump,8.805581045422798,-12.03982493380907,2019-10-05,2,2019-10-05,2,10,1,357,7,1,0,2,0,0,2,0.0028011204481792717,0,1,1,0,0,1,1,0,1,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-08-03,1,2019-08-03,1,8,1,190,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-10-03,2,2019-10-03,2,10,1,192,7,1,0,0,0,0,2,0.005208333333333333,0,0,1,0,0,1,1,0,1,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-12-06,3,2019-12-06,3,12,0,194,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2020-01-27,4,2020-01-27,4,1,0,203,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Mokorie,8.207852394264012,-12.058048705581529,2020-12-15,5,2020-12-15,1,12,0,284,15,1,9,2,0,0,3,0.0035211267605633804,0.03169014084507042,1,1,0,0,1,1,0,1,PREEMPT
Naiawama,7.8694422230075105,-11.04104693769143,2020-11-17,5,2020-11-17,1,11,1,250,15,7,2,0,0,0,0,0.028,0.008,1,0,0,0,0,7,0,7,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-08-14,1,2019-08-14,1,8,1,98,2,0,1,0,0,0,0,0,0.01020408163265306,1,1,0,0,1,0,0,0,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-10-11,2,2019-10-11,2,10,1,104,10,1,0,1,0,0,4,0.009615384615384616,0,1,1,0,0,1,1,0,1,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-12-10,3,2019-12-10,3,12,0,104,7,1,0,2,0,0,1,0.009615384615384616,0,1,1,0,0,1,1,0,1,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2020-02-03,4,2020-02-03,4,2,0,98,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,PREEMPT
Petema,7.747475128890135,-11.628258155737251,2021-01-26,5,2021-01-26,1,1,0,381,7,0,3,0,0,0,0,0,0.007874015748031496,1,0,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,NA,1,2019-08-15,1,NA,1,170,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2019-10-24,2,2019-10-24,2,10,1,170,3,1,0,1,0,0,0,0.0058823529411764705,0,0,1,0,0,0,1,0,1,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2019-12-20,3,2019-12-20,3,12,0,170,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2020-02-22,4,2020-02-22,4,2,0,156,8,7,0,0,0,0,0,0.04487179487179487,0,0,1,0,0,0,7,0,7,PREEMPT
Yekeyor,8.576877642939278,-10.878485814424144,2021-02-09,5,2021-02-09,1,2,0,660,12,2,5,1,0,0,0,0.0030303030303030303,0.007575757575757576,1,1,0,0,0,2,0,2,PREEMPT
